City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,port hardy,CA,60.98,light rain,50.6996,-127.4199,Airport Inn
39,noumea,NC,64.38,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
50,pisco,PE,64.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
56,port alfred,ZA,67.35,clear sky,-33.5906,26.891,The Halyards Hotel
73,inhambane,MZ,68.13,scattered clouds,-23.865,35.3833,Oceano
78,cidreira,BR,61.77,clear sky,-30.1811,-50.2056,Hotel Castelo
92,saint-philippe,RE,69.35,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
99,port elizabeth,ZA,61.11,overcast clouds,-33.918,25.5701,39 On Nile Guest House
102,torbay,CA,66.58,few clouds,47.6666,-52.7314,Gallows Cove
104,dawlatabad,AF,65.86,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
108,novopskov,UA,68.68,overcast clouds,49.5464,39.0899,"Sanatorno-Ozdorovchyy Kompleks ""Perlyna"""
130,castro,BR,61.7,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
143,lima,PE,61.05,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
153,lichuan,CN,62.85,light rain,30.3,108.85,Yicheng Hotel
159,hearst,CA,61.05,scattered clouds,49.6835,-83.6665,Companion
166,shakawe,BW,65.37,clear sky,-18.3667,21.85,Ditlhapi Guest House
168,oxford,GB,62.49,clear sky,51.7522,-1.256,Malmaison Oxford
170,lagoa,PT,69.12,overcast clouds,39.05,-27.9833,Casa Das Faias
173,bayir,TR,63.12,clear sky,37.2687,28.2167,Hotel Babadag
182,northam,GB,60.66,scattered clouds,51.0333,-4.2167,Durrant House Hotel
189,sorgun,TR,60.37,broken clouds,39.8101,35.186,SORGUN BIG THERMAL TURIZM HOTEL COMPANY A.Ş.
191,lubango,AO,65.53,clear sky,-14.9172,13.4925,Hotel Serra da Chela
194,losser,NL,64.78,overcast clouds,52.2608,7.0042,Hotel Marktzicht
196,rocky mountain house,CA,60.91,overcast clouds,52.3668,-114.9188,Walking Eagle Inn & Lodge
219,anchorage,US,60.31,clear sky,61.2181,-149.9003,Hotel Captain Cook
229,mount isa,AU,62.37,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
239,kulu,TR,61.93,clear sky,39.0951,33.0799,Kapadokya Motel
243,marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
247,bridlington,GB,61.9,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
248,richards bay,ZA,65.89,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
252,khani,GE,60.37,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
253,liverpool,GB,61.68,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
255,namibe,AO,68.83,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
