City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,cape town,ZA,-33.9258,18.4232,58.87,88,75,3.0,broken clouds
1,thompson,CA,55.7435,-97.8558,53.76,54,90,13.8,overcast clouds
2,jaisalmer,IN,26.9147,70.9181,87.66,57,100,8.9,overcast clouds
3,nabire,ID,-3.3667,135.4833,74.3,92,72,3.22,light rain
4,new norfolk,AU,-42.7826,147.0587,42.93,79,11,1.99,few clouds
5,nayoro,JP,44.3506,142.4578,59.94,97,100,4.59,overcast clouds
6,east london,ZA,-33.0153,27.9116,80.29,39,5,6.55,clear sky
7,qaanaaq,GL,77.484,-69.3632,22.53,67,10,7.47,clear sky
8,port hardy,CA,50.6996,-127.4199,60.98,77,75,4.61,light rain
9,raudeberg,NO,61.9875,5.1352,56.19,95,100,1.01,overcast clouds
10,mackay,AU,-21.15,149.2,57.18,94,98,4.61,overcast clouds
11,jamestown,US,42.097,-79.2353,75.02,48,1,11.01,clear sky
12,dubbo,AU,-32.25,148.6167,46.53,76,0,3.44,clear sky
13,yellowknife,CA,62.456,-114.3525,50.52,71,75,18.41,broken clouds
14,avarua,CK,-21.2078,-159.775,78.85,78,20,12.66,few clouds
15,kamakwie,SL,9.5,-12.2333,73.31,97,100,3.47,moderate rain
16,rikitea,PF,-23.1203,-134.9692,73.89,71,20,12.48,few clouds
17,punta arenas,CL,-53.15,-70.9167,50.11,32,0,13.8,clear sky
18,vostok,RU,46.4856,135.8833,49.84,99,100,3.29,moderate rain
19,bredasdorp,ZA,-34.5322,20.0403,53.28,87,87,5.75,overcast clouds
20,busselton,AU,-33.65,115.3333,38.08,87,5,7.45,clear sky
21,vaini,TO,-21.2,-175.2,75.36,88,75,9.22,light rain
22,carnarvon,AU,-24.8667,113.6333,57.27,67,0,14.97,clear sky
23,hilo,US,19.7297,-155.09,85.28,81,90,6.91,moderate rain
24,hermanus,ZA,-34.4187,19.2345,57.9,88,100,6.4,overcast clouds
25,cherskiy,RU,68.75,161.3,28.67,67,100,0.89,overcast clouds
26,tuktoyaktuk,CA,69.4541,-133.0374,50.0,76,75,12.66,broken clouds
27,salina,US,38.8403,-97.6114,93.33,43,1,11.5,clear sky
28,san quintin,MX,30.4833,-115.95,79.59,66,1,13.15,clear sky
29,puerto baquerizo moreno,EC,-0.9,-89.6,72.59,78,75,11.5,broken clouds
30,labuhan,ID,-6.8844,112.2051,76.59,90,100,6.76,overcast clouds
31,nikolskoye,RU,59.7035,30.7861,57.09,99,100,3.53,overcast clouds
32,fallon,US,39.4735,-118.7774,88.92,29,20,4.61,few clouds
33,batemans bay,AU,-35.7167,150.1833,55.2,45,0,8.05,clear sky
34,ushuaia,AR,-54.8,-68.3,44.26,45,75,9.22,broken clouds
35,spas-demensk,RU,54.4122,34.0226,58.23,79,99,3.56,overcast clouds
